x1,x2,classe,ideDeputado,nome,partido
0.332569359599797,0.376229578429323,Base,178980,GOULART,PSD
-0.686981989799419,0.0463848905805053,Base,141335,BETO FARO,PT
0.600882827399679,-0.265269422350288,Oposicao,141531,RODRIGO DE CASTRO,PSDB
0.850293017770153,-0.409876891195774,Oposicao,141478,LAERTE BESSA,PR
-1.01804079261405,0.298355382911359,Oposicao,178826,MAJOR OLIMPIO,S.PART.
-0.097575305965281,-0.463909006250873,Oposicao,160510,LUIS TIBÉ,PTdoB
-0.558558901291984,0.199608337774804,Oposicao,178927,ALIEL MACHADO,REDE
-0.166266844249806,-0.417043657959634,Oposicao,73531,IVAN VALENTE,PSOL
0.299138423292618,-0.267273244089101,Base,74812,PEDRO CHAVES,PMDB
-0.519092610700521,0.172771445388133,Base,159237,ASSIS CARVALHO,PT
0.287858328429731,0.204876812567611,Oposicao,178915,BETINHO GOMES,PSDB
0.0675293268970639,0.078877321415018,Oposicao,178993,CARLOS HENRIQUE GAGUIM,PTN
0.0703470057849375,0.110265317215811,Oposicao,178802,LUIZ CARLOS RAMOS,PTN
0.196718767012278,-0.376431476614291,Base,114941,JOSI NUNES,PMDB
0.441930324798624,0.0720488417114856,Oposicao,141454,ALFREDO KAEFER,PSL
0.360106659124798,0.324381754818566,Oposicao,141472,RICARDO TRIPOLI,PSDB
0.442829072683118,-0.233139850694242,Oposicao,141429,FELIPE MAIA,DEM
0.245131738904137,0.17602619965966,Oposicao,160663,LEOPOLDO MEYER,PSB
0.412556602027071,-0.228883315980629,Oposicao,178919,MARINALDO ROSENDO,PSB
0.0731955806580778,-0.0133549209662685,Oposicao,73553,NELSON MARQUEZELLI,PTB
0.753149027843568,-0.386235405752901,Oposicao,160758,DOMINGOS SÁVIO,PSDB
0.293172799797549,0.151955832025429,Oposicao,178998,RAQUEL MUNIZ,PSC
0.253304154886582,0.170422817056166,Oposicao,178905,FABIO GARCIA,PSB
0.169804056661535,-0.361295995406143,Oposicao,137070,VICENTINHO JÚNIOR,PR
-0.0570161005908807,0.200597033953028,Oposicao,178882,ANDRÉ FUFUCA,PEN
-0.477423776725293,0.160700653492437,Base,178825,LEO DE BRITO,PT
-0.141667215580509,0.126132038135712,Oposicao,160551,ANDERSON FERREIRA,PR
0.222781186051009,-0.494321102766921,Base,160527,AGUINALDO RIBEIRO,PP
-0.138523196060352,-0.10775716721413,Base,178930,EVANDRO ROMAN,PSD
-0.471876355549396,-0.109885635261106,Base,141413,DÉCIO LIMA,PT
-0.959695238272198,0.0780487568585828,Base,160508,AFONSO FLORENCE,PT
0.00485347810223858,0.092567447393461,Oposicao,178945,ROSANGELA GOMES,PRB
0.0386263321039262,0.16230362341995,Base,141405,CELSO MALDANER,PMDB
0.493379955006051,-0.263611269255961,Base,74235,MARCUS VICENTE,PP
-0.041593859007418,0.166527194649587,Oposicao,178968,ADELSON BARRETO,PTB
-0.146067106973111,0.289897397675534,Oposicao,141555,VINICIUS CARVALHO,PRB
0.35138477643986,0.069669151918894,Oposicao,160530,ANTONIO IMBASSAHY,PSDB
0.643615716156118,-0.261113720038614,Oposicao,178878,GIUSEPPE VECCI,PSDB
-0.403841616023763,0.282961526816609,Oposicao,160672,JEAN WYLLYS,PSOL
0.179541330828838,-0.248274790378385,Base,141529,ROBERTO BRITTO,PP
0.126112170350424,0.18803975431744,Base,178952,WALTER ALVES,PMDB
0.0360597895084718,0.184867706028819,Oposicao,178937,ALTINEU CÔRTES,PR
-0.533966196118255,-0.590926539332824,Base,178970,JOÃO DANIEL,PT
-0.554858071253819,0.0150974294314339,Oposicao,178971,JONY MARCOS,PRB
-0.783174025249264,0.0560881529669319,Base,160535,MARCON,PT
0.431751677740328,-0.229043196627569,Base,73768,DILCEU SPERAFICO,PP
-0.101299532755574,0.329549092938671,Oposicao,141383,ANTONIO BULHÕES,PRB
0.27060088206204,0.34317908757779,Base,141389,INDIO DA COSTA,PSD
-0.525719921842518,0.0588263709877755,Base,74283,VICENTINHO,PT
-0.167403131655757,-0.076122133438805,Oposicao,73655,AUGUSTO CARVALHO,SD
0.259201278981897,0.228956365051219,Oposicao,178880,MARCOS ABRÃO,PPS
0.202944415110235,-0.224767323388274,Base,93083,CACÁ LEÃO,PP
0.501951656865682,-0.239356953278589,Oposicao,178966,GEOVANIA DE SÁ,PSDB
0.198553289053348,0.0013799300597453,Base,141480,LÁZARO BOTELHO,PP
-0.0451649534458497,-0.0867907956893955,Oposicao,160600,ARTHUR OLIVEIRA MAIA,SD
-0.387150451688589,0.0753164388130489,Base,178874,SERGIO VIDIGAL,PDT
-0.138523196060352,-0.10775716721413,Oposicao,178840,ROCHA,PSDB
0.269805009442374,0.00527472235686832,Base,74254,LEONARDO PICCIANI,PMDB
0.364397093868342,0.286349305841279,Oposicao,74655,EDUARDO BARBOSA,PSDB
0.361261080899684,0.0624102791870838,Base,74273,JEFFERSON CAMPOS,PSD
-0.402650810237877,-0.274746318280337,Base,160637,RONALDO FONSECA,PROS
0.171922292834455,0.191535762104137,Oposicao,62881,DANILO FORTE,PSB
-0.379006313173531,-0.522096321752493,Base,178835,AFONSO MOTTA,PDT
-0.535018923439216,-0.657046552995164,Base,160569,WALDENOR PEREIRA,PT
0.163491807099393,0.124646369911777,Base,74090,ÁTILA LINS,PSD
0.0429140579680855,0.317829410723011,Oposicao,178960,REMÍDIO MONAI,PR
0.208224495734086,-0.0634965978344899,Oposicao,160589,BRUNA FURLAN,PSDB
-0.0106862479900159,-0.109621151559426,Base,163831,FERNANDO JORDÃO,PMDB
0.449341564758983,-0.290870242963349,Oposicao,74457,MORONI TORGAN,DEM
0.342005429231867,-0.308733227960991,Oposicao,178958,CARLOS ANDRADE,PHS
0.293369607251636,0.227412807279478,Oposicao,160601,PR. MARCO FELICIANO,PSC
-0.241811376311364,0.17469673631823,Base,74317,JÚLIO CESAR,PSD
-0.0658683078584325,-0.113157606155776,Base,160655,RICARDO IZAR,PSD
0.0991946603546306,-0.297226026965427,Oposicao,178922,TADEU ALENCAR,PSB
0.187184730802264,0.311911703866509,Base,178910,JOAQUIM PASSARINHO,PSD
-0.571381120349313,-0.0709401384086884,Base,74156,LEONARDO MONTEIRO,PT
-0.304416488668219,0.0924972927367719,Base,141552,VALTENIR PEREIRA,PMDB
-0.17742077983976,-0.106843759687523,Oposicao,160576,CÉSAR HALUM,PRB
-0.110030448977136,0.184451682543875,Oposicao,178881,ALUISIO MENDES,PTN
0.343959845455259,-0.221434400420385,Base,73674,ROBERTO BALESTRA,PP
-0.140194779852029,-0.156537405381885,Oposicao,64960,MARIA HELENA,PSB
0.387532744056353,-0.253535023266655,Oposicao,141422,EFRAIM FILHO,DEM
-0.274999258440774,-0.448965795653517,Oposicao,178892,DÂMINA PEREIRA,PSL
0.119819345572446,-0.138727562431219,Oposicao,74366,JOÃO CAMPOS,PSDB
-0.0622713490644621,0.294771869210393,Oposicao,151208,LAERCIO OLIVEIRA,SD
-0.16036964667897,0.216694748367202,Oposicao,178938,CABO DACIOLO,S.PART.
0.384571096610375,-0.0417027683423331,Oposicao,74570,JUTAHY JUNIOR,PSDB
-0.0384910390144923,0.245177873202312,Oposicao,73778,LUIZ CARLOS HAULY,PSDB
-0.405470441747455,0.317582218373046,Base,129037,GABRIEL GUIMARÃES,PT
